participantId,condition,timeSinceStartup,correctNodeHit,keypressed,calibrationData,bubbleSize,numberNodes,targetNode,currentSelectedNode
1,EYE,7.358541,,,noCalibrationDataSet,10,150,70,75
1,EYE,7.375331,,,noCalibrationDataSet,10,150,70,75
1,EYE,7.392272,,,noCalibrationDataSet,10,150,70,75
1,EYE,7.415116,,d,noCalibrationDataSet,10,150,70,75
1,EYE,7.425824,,,noCalibrationDataSet,10,150,70,75
1,EYE,7.44521,,,noCalibrationDataSet,10,150,70,75
1,EYE,7.459739,,,noCalibrationDataSet,10,150,70,125
1,EYE,7.476599,,,noCalibrationDataSet,10,150,70,125
1,EYE,7.49355,,,noCalibrationDataSet,10,150,70,125
1,EYE,7.51365,,,noCalibrationDataSet,10,150,70,125
1,EYE,7.527605,,,noCalibrationDataSet,10,150,70,125
1,EYE,7.544327,,,noCalibrationDataSet,10,150,70,125
1,EYE,7.561258,,,noCalibrationDataSet,10,150,70,125
1,EYE,7.578231,,,noCalibrationDataSet,10,150,70,125
1,EYE,7.595058,,,noCalibrationDataSet,10,150,70,125
1,EYE,7.615045,,,noCalibrationDataSet,10,150,70,125
1,EYE,7.628201,,,noCalibrationDataSet,10,150,70,125
1,EYE,7.645223,,,noCalibrationDataSet,10,150,70,125
1,EYE,7.66199,,,noCalibrationDataSet,10,150,70,125
1,EYE,7.678746,,,noCalibrationDataSet,10,150,70,125
1,EYE,7.695735,,,noCalibrationDataSet,10,150,70,125
1,EYE,7.715879,,,noCalibrationDataSet,10,150,70,125
1,EYE,7.729599,,,noCalibrationDataSet,10,150,70,125
1,EYE,7.745984,,,noCalibrationDataSet,10,150,70,125
1,EYE,7.763037,,,noCalibrationDataSet,10,150,70,125
1,EYE,7.779821,,,noCalibrationDataSet,10,150,70,125
1,EYE,7.796681,,,noCalibrationDataSet,10,150,70,125
1,EYE,7.818133,,,noCalibrationDataSet,10,150,70,125
1,EYE,7.830402,,,noCalibrationDataSet,10,150,70,125
1,EYE,7.846903,,,noCalibrationDataSet,10,150,70,125
1,EYE,7.864184,,,noCalibrationDataSet,10,150,70,125
1,EYE,7.880866,,,noCalibrationDataSet,10,150,70,125
1,EYE,7.897865,,,noCalibrationDataSet,10,150,70,125
1,EYE,7.918441,,,noCalibrationDataSet,10,150,70,125
1,EYE,7.931465,,,noCalibrationDataSet,10,150,70,125
1,EYE,7.948101,,,noCalibrationDataSet,10,150,70,125
1,EYE,7.965119,,,noCalibrationDataSet,10,150,70,125
1,EYE,7.981959,,,noCalibrationDataSet,10,150,70,125
1,EYE,7.999207,,w,noCalibrationDataSet,10,150,70,125
1,EYE,8.019145,,,noCalibrationDataSet,10,150,70,125
1,EYE,8.03265,,,noCalibrationDataSet,10,150,70,125
1,EYE,8.049613,,,noCalibrationDataSet,10,150,70,125
1,EYE,8.066291,,,noCalibrationDataSet,10,150,70,125
1,EYE,8.083247,,,noCalibrationDataSet,10,150,70,125
1,EYE,8.100163,,,noCalibrationDataSet,10,150,70,125
1,EYE,8.120189,,,noCalibrationDataSet,10,150,70,125
1,EYE,8.133891,,,noCalibrationDataSet,10,150,70,125
1,EYE,8.150663,,,noCalibrationDataSet,10,150,70,125
1,EYE,8.167395,,,noCalibrationDataSet,10,150,70,125
1,EYE,8.184622,,,noCalibrationDataSet,10,150,70,125
1,EYE,8.201577,,,noCalibrationDataSet,10,150,70,125
1,EYE,8.22129,,,noCalibrationDataSet,10,150,70,125
1,EYE,8.234975,,,noCalibrationDataSet,10,150,70,125
1,EYE,8.252364,,,noCalibrationDataSet,10,150,70,125
1,EYE,8.268434,,,noCalibrationDataSet,10,150,70,125
1,EYE,8.285378,,,noCalibrationDataSet,10,150,70,125
1,EYE,8.302131,,,noCalibrationDataSet,10,150,70,125
1,EYE,8.322495,,,noCalibrationDataSet,10,150,70,125
1,EYE,8.336124,,,noCalibrationDataSet,10,150,70,125
1,EYE,8.352738,,,noCalibrationDataSet,10,150,70,125
1,EYE,8.369616,,,noCalibrationDataSet,10,150,70,125
1,EYE,8.386454,,,noCalibrationDataSet,10,150,70,125
1,EYE,8.403896,,w,noCalibrationDataSet,10,150,70,125
1,EYE,8.423574,,,noCalibrationDataSet,10,150,70,125
1,EYE,8.437241,,,noCalibrationDataSet,10,150,70,125
1,EYE,8.453979,,,noCalibrationDataSet,10,150,70,125
1,EYE,8.470735,,,noCalibrationDataSet,10,150,70,125
1,EYE,8.487659,,,noCalibrationDataSet,10,150,70,125
1,EYE,8.504473,,,noCalibrationDataSet,10,150,70,125
1,EYE,8.524499,,,noCalibrationDataSet,10,150,70,125
