Subject;trial_id;condition_id;object_number;duration;distance;hit_try;letter;input_letters;right_letters;levensthein_distance;buchstabe_1;buchstabe_2;buchstabe_3;buchstabe_4;buchstabe_5;buchstabe_6;buchstabe_7
6;9;1;6;2.166382;162;1;D;;BCDCCD;;;;;;;;
6;9;1;7;1.949341;162;1;D;BCDCBDD;BCDCCDD;1;1;1;1;1;0;1;1
6;10;1;1;1.755554;162;1;A;;A;;;;;;;;
6;10;1;2;1.221619;-90;2;D;;AD;;;;;;;;
6;10;1;3;1.555786;180;1;A;;ADA;;;;;;;;
6;10;1;4;1.078247;-108;1;C;;ADAC;;;;;;;;
6;10;1;5;1.454834;-144;1;A;;ADACA;;;;;;;;
6;10;1;6;4.655273;-144;2;C;;ADACAC;;;;;;;;
6;10;1;7;2.043945;180;1;B;ADACACB;ADACACB;0;1;1;1;1;1;1;1
6;1;2;1;1.743896;162;1;A;;A;;;;;;;;
6;1;2;2;1.83429;144;1;A;;AA;;;;;;;;
6;1;2;3;1.195251;90;1;A;;AAA;;;;;;;;
6;1;2;4;1.599792;144;1;D;;AAAD;;;;;;;;
6;1;2;5;1.589661;144;1;C;;AAADC;;;;;;;;
6;1;2;6;1.06073;-90;1;C;;AAADCC;;;;;;;;
6;1;2;7;2.172668;180;1;A;AAADCDA;AAADCCA;1;1;1;1;1;1;0;1
6;2;2;1;1.718872;-162;1;C;;C;;;;;;;;
6;2;2;2;1.918884;-126;1;B;;CB;;;;;;;;
6;2;2;3;2.279297;180;2;A;;CBA;;;;;;;;
6;2;2;4;1.126221;90;1;B;;CBAB;;;;;;;;
6;2;2;5;2.203796;-126;2;C;;CBABC;;;;;;;;
6;2;2;6;1.249573;-90;1;A;;CBABCA;;;;;;;;
6;2;2;7;1.856262;-108;2;C;CBABCAB;CBABCAC;1;1;1;1;1;1;1;0
6;3;2;1;1.111938;108;1;B;;B;;;;;;;;
6;3;2;2;1.521484;144;1;B;;BB;;;;;;;;
6;3;2;3;0.7446899;-90;1;D;;BBD;;;;;;;;
6;3;2;4;1.395325;-144;1;C;;BBDC;;;;;;;;
6;3;2;5;1.610291;-180;1;B;;BBDCB;;;;;;;;
6;3;2;6;1.512024;-144;1;A;;BBDCBA;;;;;;;;
6;3;2;7;1.532349;-90;2;D;BBDCBAB;BBDCBAD;1;1;1;1;1;1;1;0
6;4;2;1;1.422791;90;2;D;;D;;;;;;;;
6;4;2;2;1.554932;144;1;D;;DD;;;;;;;;
6;4;2;3;1.111877;90;1;A;;DDA;;;;;;;;
6;4;2;4;2.288757;144;2;C;;DDAC;;;;;;;;
6;4;2;5;4.555237;-180;3;B;;DDACB;;;;;;;;
6;4;2;6;2.032349;162;1;C;;DDACBC;;;;;;;;
6;4;2;7;1.682556;126;1;B;DDACBCB;DDACBCB;0;1;1;1;1;1;1;1
6;5;2;1;1.288086;-126;1;D;;D;;;;;;;;
6;5;2;2;1.53833;180;1;A;;DA;;;;;;;;
6;5;2;3;2.778381;-126;1;A;;DAA;;;;;;;;
6;5;2;4;1.354248;144;1;B;;DAAB;;;;;;;;
6;5;2;5;1.111328;-108;1;D;;DAABD;;;;;;;;
6;5;2;6;1.199829;108;1;B;;DAABDB;;;;;;;;
6;5;2;7;1.445068;-144;1;C;DAABDBC;DAABDBC;0;1;1;1;1;1;1;1
6;6;2;1;1.722107;180;1;D;;D;;;;;;;;
6;6;2;2;0.8233643;90;1;D;;DD;;;;;;;;
6;6;2;3;1.210083;108;1;A;;DDA;;;;;;;;
6;6;2;4;1.199646;108;1;A;;DDAA;;;;;;;;
6;6;2;5;2.21167;162;1;D;;DDAAD;;;;;;;;
6;6;2;6;0.8779907;-126;1;B;;DDAADB;;;;;;;;
6;6;2;7;1.372559;-144;1;A;DDAABAA;DDAADBA;2;1;1;1;1;0;0;1
6;7;2;1;1.144226;-108;1;C;;C;;;;;;;;
6;7;2;2;0.8562012;-90;1;D;;CD;;;;;;;;
6;7;2;3;1.93219;-180;1;A;;CDA;;;;;;;;
6;7;2;4;1.201538;-108;1;B;;CDAB;;;;;;;;
6;7;2;5;1.621399;90;2;D;;CDABD;;;;;;;;
6;7;2;6;1.071899;-90;1;C;;CDABDC;;;;;;;;
6;7;2;7;1.132935;-108;1;B;CDABDCB;CDABDCB;0;1;1;1;1;1;1;1
6;8;2;1;1.322083;144;1;B;;B;;;;;;;;
6;8;2;2;0.8120728;90;1;C;;BC;;;;;;;;
6;8;2;3;1.937927;144;1;A;;BCA;;;;;;;;
6;8;2;4;2.766357;-162;2;B;;BCAB;;;;;;;;
6;8;2;5;0.944458;90;1;A;;BCABA;;;;;;;;
